format,feasibility_rate,mean_gap,median_gap,std_gap,count
F1,57.5%,-48.78,-43.99,20.64,120
F2,34.2%,-47.44,-43.36,19.48,120
F3,42.5%,-49.29,-44.23,20.55,120
F4,45.0%,-45.46,-39.82,19.47,120
F5,45.8%,-47.72,-45.54,19.55,120
