format,feasibility_rate,mean_gap,median_gap,std_gap,count
F1,52.5%,-44.40,-41.94,17.63,120
F2,35.8%,-44.83,-42.10,16.54,120
F3,39.2%,-47.88,-43.36,17.85,120
F4,49.2%,-52.37,-49.93,18.96,120
F5,53.3%,-46.12,-42.35,18.51,120
