format,feasibility_rate,mean_gap,median_gap,std_gap,count
F1,23.3%,-49.96,-43.36,17.13,60
F2,8.3%,-46.13,-45.01,3.11,60
F3,16.7%,-44.81,-43.75,14.72,60
F4,21.7%,-48.77,-42.60,14.89,60
F5,21.7%,-49.44,-43.75,16.17,60
