format,feasibility_rate,mean_gap,median_gap,std_gap,count
F1,46.7%,-56.40,-58.76,11.11,30
F2,36.7%,-58.08,-60.06,7.33,30
F3,56.7%,-54.00,-58.73,11.61,30
F4,53.3%,-44.18,-52.43,24.50,30
F5,73.3%,-49.78,-54.39,16.51,30
