format,feasibility_rate,mean_gap,median_gap,count
F1,69.2%,-48.70556758730565,-48.87590830623469,120
F2,56.7%,-45.48590947311213,-45.5392809587217,120
F3,58.3%,-50.92532176970681,-46.27674948410019,120
F4,63.3%,-47.3008052667216,-47.745336151553744,120
F5,51.7%,-48.083160517654726,-43.85964912280701,120
