format_a,format_b,mean_diff,p_value
F1,F2,-3.22,0.6106
F1,F3,2.22,0.6115
F1,F4,-1.4,0.7743
F1,F5,-0.62,0.8909
F2,F3,5.44,0.3717
F2,F4,1.81,0.7759
F2,F5,2.6,0.6826
F3,F4,-3.62,0.4239
F3,F5,-2.84,0.4715
F4,F5,0.78,0.868
