format,mean_gap,std_gap,n
F1,-48.70556758730565,25.247237062224734,83
F2,-45.48590947311213,39.07181276406395,68
F3,-50.92532176970681,19.41177056984929,70
F4,-47.3008052667216,26.870065069278105,76
F5,-48.083160517654726,19.673376329413383,62
