format,feasibility_rate,mean_gap,median_gap,count
F1,80.0%,-46.3495329445849,-42.85714285714285,20
F2,55.0%,-46.85519288687077,-43.14317943759568,20
F3,45.0%,-43.098109551672046,-41.15633047055947,20
F4,70.0%,-43.457979877397065,-42.726745870762095,20
F5,65.0%,-49.775510970697084,-43.75,20
