format,mean_gap,std_gap,n
F1,-46.3495329445849,17.618538536551867,16
F2,-46.85519288687077,15.99870755435746,11
F3,-43.09810955167205,15.007742410131167,9
F4,-43.457979877397065,16.97483760884401,14
F5,-49.775510970697084,20.21164633864579,13
