format_a,format_b,mean_diff,p_value
F1,F2,0.51,0.946
F1,F3,-3.25,0.6785
F1,F4,-2.89,0.7066
F1,F5,3.43,0.6762
F2,F3,-3.76,0.618
F2,F4,-3.4,0.6506
F2,F5,2.92,0.7195
F3,F4,0.36,0.9631
F3,F5,6.68,0.4419
F4,F5,6.32,0.4501
