format,feasibility_rate,mean_gap,median_gap,count
F1,60.0%,-52.57970274993282,-55.34418044862326,30
F2,60.0%,-50.131464894865566,-53.622917056730955,30
F3,73.3%,-50.76414682044683,-54.693994240120254,30
F4,66.7%,-41.4742611007873,-45.19862407078605,30
F5,36.7%,-53.91167877461832,-56.2254259501966,30
