format_a,format_b,mean_diff,p_value
F1,F2,-2.45,0.6503
F1,F3,-1.82,0.7185
F1,F4,-11.11,0.0791
F1,F5,1.33,0.8067
F2,F3,0.63,0.9015
F2,F4,-8.66,0.1723
F2,F5,3.78,0.5007
F3,F4,-9.29,0.1135
F3,F5,3.15,0.5538
F4,F5,12.44,0.0814
