format,mean_gap,std_gap,n
F1,-52.579702749932814,15.785426332981567,18
F2,-50.13146489486557,16.32866758300482,18
F3,-50.76414682044685,15.684015179971393,22
F4,-41.4742611007873,21.3341558684632,20
F5,-53.91167877461832,10.584968004217803,11
