format,feasibility_rate,mean_gap,median_gap,count
F1,31.7%,-47.446690333651716,-43.75,60
F2,30.0%,-44.39307721822765,-39.71631205673759,60
F3,30.0%,-45.0552582550458,-43.30357142857142,60
F4,38.3%,-48.72882145562904,-43.80482456140351,60
F5,26.7%,-49.113050101424484,-41.28672745694022,60
