format,mean_gap,std_gap,n
F1,-47.446690333651716,13.958205532960838,19
F2,-44.39307721822765,17.238851352925,18
F3,-45.0552582550458,16.01289509008012,18
F4,-48.72882145562904,18.499423414014988,23
F5,-49.113050101424484,20.14062511287603,16
