format,mean_gap,std_gap,n
F1,-43.835839497444006,37.520691154527675,76
F2,-51.085458052460176,19.3165100706407,75
F3,-48.199769292905735,19.641433513968277,74
F4,-48.43803236778707,19.007346281281922,78
F5,-44.80249887562017,23.277416625196516,74
