format_a,format_b,mean_diff,p_value
F1,F2,7.25,0.213
F1,F3,4.36,0.4409
F1,F4,4.6,0.4131
F1,F5,0.97,0.8708
F2,F3,-2.89,0.4394
F2,F4,-2.65,0.4705
F2,F5,-6.28,0.1292
F3,F4,0.24,0.9476
F3,F5,-3.4,0.4033
F4,F5,-3.64,0.3647
