format,feasibility_rate,mean_gap,median_gap,count
F1,63.3%,-43.83583949744401,-44.32388777986697,120
F2,62.5%,-51.085458052460176,-49.34210526315789,120
F3,61.7%,-48.19976929290574,-43.85964912280701,120
F4,65.0%,-48.43803236778708,-44.22788605697151,120
F5,61.7%,-44.80249887562017,-42.726745870762095,120
